Date,DateTime,Rate,From,To
2015-11-26,2015-11-26 16:00:00,0.665264464539668,EUR,BRL
2015-11-27,2015-11-27 16:00:00,4.634639545417378,EUR,BRL
2015-11-28,2015-11-28 16:00:00,4.739441306327051,EUR,BRL
2015-11-29,2015-11-29 16:00:00,4.738553679983651,EUR,BRL
2015-11-30,2015-11-30 16:00:00,4.734849769273444,EUR,BRL
2015-12-01,2015-12-01 16:00:00,4.756675009854244,EUR,BRL
2015-12-02,2015-12-02 16:00:00,4.761341449952114,EUR,BRL
2015-12-03,2015-12-03 16:00:00,4.736276756329788,EUR,BRL
2015-12-04,2015-12-04 16:00:00,4.768612008679181,EUR,BRL
2015-12-05,2015-12-05 16:00:00,4.749631016919051,EUR,BRL
2015-12-06,2015-12-06 16:00:00,4.744797296370161,EUR,BRL
2015-12-07,2015-12-07 16:00:00,4.731680754515279,EUR,BRL
2015-12-08,2015-12-08 16:00:00,4.742783411750931,EUR,BRL
2015-12-09,2015-12-09 16:00:00,4.824220232361185,EUR,BRL
2015-12-10,2015-12-10 16:00:00,4.794161604347767,EUR,BRL
2015-12-11,2015-12-11 16:00:00,4.819632571959301,EUR,BRL
2015-12-12,2015-12-12 16:00:00,4.9219799589125675,EUR,BRL
2015-12-13,2015-12-13 16:00:00,4.921760618635307,EUR,BRL
2015-12-14,2015-12-14 16:00:00,4.9254405154058585,EUR,BRL
2015-12-15,2015-12-15 16:00:00,4.9384877700262555,EUR,BRL
2015-12-16,2015-12-16 16:00:00,4.916620422697016,EUR,BRL
2015-12-17,2015-12-17 16:00:00,4.902653558781488,EUR,BRL
2015-12-18,2015-12-18 16:00:00,4.871931340156913,EUR,BRL
2015-12-19,2015-12-19 16:00:00,4.994046396590644,EUR,BRL
2015-12-20,2015-12-20 16:00:00,4.9944174563456185,EUR,BRL
2015-12-21,2015-12-21 16:00:00,4.970605636551184,EUR,BRL
2015-12-22,2015-12-22 16:00:00,5.0458244076674275,EUR,BRL
2015-12-23,2015-12-23 16:00:00,5.03231071785343,EUR,BRL
2015-12-24,2015-12-24 16:00:00,4.968284034450097,EUR,BRL
2015-12-25,2015-12-25 16:00:00,4.999644661057814,EUR,BRL
2015-12-26,2015-12-26 16:00:00,5.00390773720727,EUR,BRL
2015-12-27,2015-12-27 16:00:00,4.995070761132722,EUR,BRL
2015-12-28,2015-12-28 16:00:00,4.989223481979126,EUR,BRL
2015-12-29,2015-12-29 16:00:00,4.900225310080364,EUR,BRL
