Date,DateTime,Rate,From,To
2015-11-26,2015-11-26 16:00:00,0.5251322030675337,EUR,PYG
2015-11-27,2015-11-27 16:00:00,6019.895583092168,EUR,PYG
2015-11-28,2015-11-28 16:00:00,5997.772749597231,EUR,PYG
2015-11-29,2015-11-29 16:00:00,5997.791872959754,EUR,PYG
2015-11-30,2015-11-30 16:00:00,6015.521644377972,EUR,PYG
2015-12-01,2015-12-01 16:00:00,5992.194975172302,EUR,PYG
2015-12-02,2015-12-02 16:00:00,6036.816795678337,EUR,PYG
2015-12-03,2015-12-03 16:00:00,6093.312899969257,EUR,PYG
2015-12-04,2015-12-04 16:00:00,6302.696487092249,EUR,PYG
2015-12-05,2015-12-05 16:00:00,6268.930732706221,EUR,PYG
2015-12-06,2015-12-06 16:00:00,6265.684969918024,EUR,PYG
2015-12-07,2015-12-07 16:00:00,6268.268750536435,EUR,PYG
2015-12-08,2015-12-08 16:00:00,6244.905673833843,EUR,PYG
2015-12-09,2015-12-09 16:00:00,6282.905803566089,EUR,PYG
2015-12-10,2015-12-10 16:00:00,6242.759194061517,EUR,PYG
2015-12-11,2015-12-11 16:00:00,6341.7584171844055,EUR,PYG
2015-12-12,2015-12-12 16:00:00,6347.88918203565,EUR,PYG
2015-12-13,2015-12-13 16:00:00,6348.614603543763,EUR,PYG
2015-12-14,2015-12-14 16:00:00,6341.099194265119,EUR,PYG
2015-12-15,2015-12-15 16:00:00,6388.297230198666,EUR,PYG
2015-12-16,2015-12-16 16:00:00,6337.406204764027,EUR,PYG
2015-12-17,2015-12-17 16:00:00,6297.272194156742,EUR,PYG
2015-12-18,2015-12-18 16:00:00,6331.206324634328,EUR,PYG
2015-12-19,2015-12-19 16:00:00,6374.964922736439,EUR,PYG
2015-12-20,2015-12-20 16:00:00,6325.374618173203,EUR,PYG
2015-12-21,2015-12-21 16:00:00,6326.474599026367,EUR,PYG
2015-12-22,2015-12-22 16:00:00,6418.346421238959,EUR,PYG
2015-12-23,2015-12-23 16:00:00,6407.774644839087,EUR,PYG
2015-12-24,2015-12-24 16:00:00,6366.60150286988,EUR,PYG
2015-12-25,2015-12-25 16:00:00,6394.080235142789,EUR,PYG
2015-12-26,2015-12-26 16:00:00,6399.398586367071,EUR,PYG
2015-12-27,2015-12-27 16:00:00,6399.39678486661,EUR,PYG
2015-12-28,2015-12-28 16:00:00,6387.506496050316,EUR,PYG
2015-12-29,2015-12-29 16:00:00,6415.039152585014,EUR,PYG
2015-12-30,2015-12-30 16:00:00,6339.431568489462,EUR,PYG
2015-12-31,2015-12-31 16:00:00,6238.250615540257,EUR,PYG
2016-01-01,2016-01-01 16:00:00,6277.2088077034205,EUR,PYG
2016-01-02,2016-01-02 16:00:00,6279.490898276207,EUR,PYG
2016-01-03,2016-01-03 16:00:00,6281.209081270639,EUR,PYG
2016-01-04,2016-01-04 16:00:00,6274.857882118424,EUR,PYG
2016-01-05,2016-01-05 16:00:00,6286.057645429754,EUR,PYG
2016-01-06,2016-01-06 16:00:00,6309.677706334561,EUR,PYG
2016-01-07,2016-01-07 16:00:00,6304.51125242652,EUR,PYG
2016-01-08,2016-01-08 16:00:00,6409.488843015519,EUR,PYG
2016-01-09,2016-01-09 16:00:00,6416.914056670357,EUR,PYG
2016-01-10,2016-01-10 16:00:00,6418.605956004876,EUR,PYG
2016-01-11,2016-01-11 16:00:00,6425.381574953096,EUR,PYG
2016-01-12,2016-01-12 16:00:00,6384.751532881065,EUR,PYG
2016-01-13,2016-01-13 16:00:00,6390.175149824091,EUR,PYG
2016-01-14,2016-01-14 16:00:00,6411.60026005587,EUR,PYG
2016-01-15,2016-01-15 16:00:00,6412.761931703976,EUR,PYG
2016-01-16,2016-01-16 16:00:00,6464.347685371525,EUR,PYG
2016-01-17,2016-01-17 16:00:00,6464.392075911726,EUR,PYG
2016-01-18,2016-01-18 16:00:00,6455.333810247394,EUR,PYG
2016-01-19,2016-01-19 16:00:00,6449.986095789288,EUR,PYG
2016-01-20,2016-01-20 16:00:00,6437.761022690873,EUR,PYG
2016-01-21,2016-01-21 16:00:00,6435.822975954536,EUR,PYG
2016-01-22,2016-01-22 16:00:00,6443.193394785685,EUR,PYG
2016-01-23,2016-01-23 16:00:00,6423.918837300714,EUR,PYG
2016-01-24,2016-01-24 16:00:00,6425.593549222827,EUR,PYG
2016-01-25,2016-01-25 16:00:00,6422.9082764773,EUR,PYG
2016-01-26,2016-01-26 16:00:00,6475.520296707935,EUR,PYG
2016-01-27,2016-01-27 16:00:00,6435.078646690635,EUR,PYG
2016-01-28,2016-01-28 16:00:00,6465.893833049601,EUR,PYG
2016-01-29,2016-01-29 16:00:00,6480.554888401211,EUR,PYG
2016-01-30,2016-01-30 16:00:00,6422.701049283258,EUR,PYG
2016-01-31,2016-01-31 16:00:00,6422.671900194792,EUR,PYG
2016-02-01,2016-02-01 16:00:00,6419.17665009521,EUR,PYG
2016-02-02,2016-02-02 16:00:00,6439.786633972168,EUR,PYG
2016-02-03,2016-02-03 16:00:00,6408.724343219833,EUR,PYG
2016-02-04,2016-02-04 16:00:00,6521.9226374231175,EUR,PYG
2016-02-05,2016-02-05 16:00:00,6603.868796511,EUR,PYG
2016-02-06,2016-02-06 16:00:00,6546.110320712253,EUR,PYG
2016-02-07,2016-02-07 16:00:00,6543.712790647704,EUR,PYG
2016-02-08,2016-02-08 16:00:00,6536.738709957416,EUR,PYG
2016-02-09,2016-02-09 16:00:00,6550.68661869718,EUR,PYG
2016-02-10,2016-02-10 16:00:00,6472.076155749289,EUR,PYG
2016-02-11,2016-02-11 16:00:00,6490.266644851622,EUR,PYG
2016-02-12,2016-02-12 16:00:00,6542.167906327233,EUR,PYG
2016-02-13,2016-02-13 16:00:00,6545.663293559665,EUR,PYG
2016-02-14,2016-02-14 16:00:00,6544.79752481406,EUR,PYG
2016-02-15,2016-02-15 16:00:00,6526.573014989249,EUR,PYG
2016-02-16,2016-02-16 16:00:00,6466.0008026529895,EUR,PYG
2016-02-17,2016-02-17 16:00:00,6463.435679209035,EUR,PYG
2016-02-18,2016-02-18 16:00:00,6442.969908762515,EUR,PYG
2016-02-19,2016-02-19 16:00:00,6442.308261878303,EUR,PYG
2016-02-20,2016-02-20 16:00:00,6445.953132856118,EUR,PYG
2016-02-21,2016-02-21 16:00:00,6445.961562833918,EUR,PYG
2016-02-22,2016-02-22 16:00:00,6440.0668885616005,EUR,PYG
2016-02-23,2016-02-23 16:00:00,6318.634546588358,EUR,PYG
2016-02-24,2016-02-24 16:00:00,6285.106939327963,EUR,PYG
2016-02-25,2016-02-25 16:00:00,6315.633744498971,EUR,PYG
2016-02-26,2016-02-26 16:00:00,6292.347481198264,EUR,PYG
2016-02-27,2016-02-27 16:00:00,6232.591445188437,EUR,PYG
2016-02-28,2016-02-28 16:00:00,6232.590590206861,EUR,PYG
2016-02-29,2016-02-29 16:00:00,6249.636729699891,EUR,PYG
2016-03-01,2016-03-01 16:00:00,6197.849483016487,EUR,PYG
2016-03-02,2016-03-02 16:00:00,6207.881625267668,EUR,PYG
2016-03-03,2016-03-03 16:00:00,6154.397478674275,EUR,PYG
2016-03-04,2016-03-04 16:00:00,6230.298959732324,EUR,PYG
2016-03-05,2016-03-05 16:00:00,6249.630436509719,EUR,PYG
2016-03-06,2016-03-06 16:00:00,6249.630436509719,EUR,PYG
2016-03-07,2016-03-07 16:00:00,6248.810959037846,EUR,PYG
2016-03-08,2016-03-08 16:00:00,6262.179867651696,EUR,PYG
2016-03-09,2016-03-09 16:00:00,6266.657424867004,EUR,PYG
2016-03-10,2016-03-10 16:00:00,6285.818175308137,EUR,PYG
2016-03-11,2016-03-11 16:00:00,6380.766883054314,EUR,PYG
2016-03-12,2016-03-12 16:00:00,6381.067123440566,EUR,PYG
2016-03-13,2016-03-13 17:00:00,6378.189925709445,EUR,PYG
2016-03-14,2016-03-14 17:00:00,6387.240339387503,EUR,PYG
2016-03-15,2016-03-15 17:00:00,6333.444570417349,EUR,PYG
2016-03-16,2016-03-16 17:00:00,6341.873862945741,EUR,PYG
2016-03-17,2016-03-17 17:00:00,6421.072972170916,EUR,PYG
2016-03-18,2016-03-18 17:00:00,6463.548055490004,EUR,PYG
2016-03-19,2016-03-19 17:00:00,6421.37781319613,EUR,PYG
2016-03-20,2016-03-20 17:00:00,6410.287005897379,EUR,PYG
2016-03-21,2016-03-21 17:00:00,6409.716207103691,EUR,PYG
2016-03-22,2016-03-22 17:00:00,6368.040612038218,EUR,PYG
2016-03-23,2016-03-23 17:00:00,6334.96300456205,EUR,PYG
2016-03-24,2016-03-24 17:00:00,6358.193104701326,EUR,PYG
2016-03-25,2016-03-25 17:00:00,6320.580916936985,EUR,PYG
2016-03-26,2016-03-26 17:00:00,6320.198149677152,EUR,PYG
2016-03-27,2016-03-27 17:00:00,6321.5811729437255,EUR,PYG
2016-03-28,2016-03-28 17:00:00,6315.749315689171,EUR,PYG
2016-03-29,2016-03-29 17:00:00,6340.538839892938,EUR,PYG
2016-03-30,2016-03-30 17:00:00,6378.3563908287915,EUR,PYG
2016-03-31,2016-03-31 17:00:00,6396.28044446671,EUR,PYG
2016-04-01,2016-04-01 17:00:00,6402.11242836209,EUR,PYG
2016-04-02,2016-04-02 17:00:00,6393.699024283874,EUR,PYG
2016-04-03,2016-04-03 17:00:00,6429.319186468629,EUR,PYG
2016-04-04,2016-04-04 17:00:00,6395.604863959367,EUR,PYG
2016-04-05,2016-04-05 17:00:00,6400.448828637927,EUR,PYG
2016-04-06,2016-04-06 17:00:00,6414.899028645092,EUR,PYG
2016-04-07,2016-04-07 17:00:00,6325.224186064084,EUR,PYG
2016-04-08,2016-04-08 17:00:00,6313.790434727469,EUR,PYG
2016-04-09,2016-04-09 17:00:00,6366.165243252238,EUR,PYG
2016-04-10,2016-04-10 17:00:00,6365.14586509188,EUR,PYG
2016-04-11,2016-04-11 17:00:00,6424.531398083662,EUR,PYG
2016-04-12,2016-04-12 17:00:00,6400.8685516346,EUR,PYG
2016-04-13,2016-04-13 17:00:00,6416.382971750684,EUR,PYG
2016-04-14,2016-04-14 17:00:00,6304.3301580343,EUR,PYG
2016-04-15,2016-04-15 17:00:00,6324.827240284043,EUR,PYG
2016-04-16,2016-04-16 17:00:00,6271.7554781869085,EUR,PYG
2016-04-17,2016-04-17 17:00:00,6272.424023505575,EUR,PYG
2016-04-18,2016-04-18 17:00:00,6278.3210283410235,EUR,PYG
2016-04-19,2016-04-19 17:00:00,6304.763121803277,EUR,PYG
2016-04-20,2016-04-20 17:00:00,6315.935726224164,EUR,PYG
2016-04-21,2016-04-21 17:00:00,6259.179509694422,EUR,PYG
2016-04-22,2016-04-22 17:00:00,6245.739336260983,EUR,PYG
2016-04-23,2016-04-23 17:00:00,6202.507345075798,EUR,PYG
2016-04-24,2016-04-24 17:00:00,6197.803089267751,EUR,PYG
2016-04-25,2016-04-25 17:00:00,6223.7246430045,EUR,PYG
2016-04-26,2016-04-26 17:00:00,6260.570273048309,EUR,PYG
2016-04-27,2016-04-27 17:00:00,6223.240074570603,EUR,PYG
2016-04-28,2016-04-28 17:00:00,6151.560131294412,EUR,PYG
2016-04-29,2016-04-29 17:00:00,6304.3330431088225,EUR,PYG
2016-04-30,2016-04-30 17:00:00,6357.569634986688,EUR,PYG
2016-05-01,2016-05-01 17:00:00,6358.128892716531,EUR,PYG
2016-05-02,2016-05-02 17:00:00,6392.413434965849,EUR,PYG
2016-05-03,2016-05-03 17:00:00,6429.305287064271,EUR,PYG
2016-05-04,2016-05-04 17:00:00,6404.24760941174,EUR,PYG
2016-05-05,2016-05-05 17:00:00,6394.195524590813,EUR,PYG
2016-05-06,2016-05-06 17:00:00,6335.909185260931,EUR,PYG
