Date,DateTime,Rate,From,To
2015-11-26,2015-11-26 16:00:00,0.7692532881807423,USD,EUR
2015-11-27,2015-11-27 16:00:00,1.7123182864807425,USD,EUR
2015-11-28,2015-11-28 16:00:00,1.7131862989807423,USD,EUR
2015-11-29,2015-11-29 16:00:00,1.7131832890807424,USD,EUR
2015-11-30,2015-11-30 16:00:00,1.7142378585807423,USD,EUR
2015-12-01,2015-12-01 16:00:00,1.7153349880807425,USD,EUR
2015-12-02,2015-12-02 16:00:00,1.7103940276807423,USD,EUR
2015-12-03,2015-12-03 16:00:00,1.7117085844807423,USD,EUR
2015-12-04,2015-12-04 16:00:00,1.6852867748807423,USD,EUR
2015-12-05,2015-12-05 16:00:00,1.6881472409807423,USD,EUR
2015-12-06,2015-12-06 16:00:00,1.6886232881807424,USD,EUR
2015-12-07,2015-12-07 16:00:00,1.6882442920807423,USD,EUR
2015-12-08,2015-12-08 16:00:00,1.6923232326807423,USD,EUR
2015-12-09,2015-12-09 16:00:00,1.6872713915807425,USD,EUR
2015-12-10,2015-12-10 16:00:00,1.6771013348807422,USD,EUR
2015-12-11,2015-12-11 16:00:00,1.6827664396807425,USD,EUR
2015-12-12,2015-12-12 16:00:00,1.6789222396807424,USD,EUR
2015-12-13,2015-12-13 16:00:00,1.6788182881807423,USD,EUR
2015-12-14,2015-12-14 16:00:00,1.6798963850807422,USD,EUR
2015-12-15,2015-12-15 16:00:00,1.6791051086807425,USD,EUR
2015-12-16,2015-12-16 16:00:00,1.6837410201807423,USD,EUR
2015-12-17,2015-12-17 16:00:00,1.6889027425807424,USD,EUR
2015-12-18,2015-12-18 16:00:00,1.6915447411807425,USD,EUR
2015-12-19,2015-12-19 16:00:00,1.6895121652807423,USD,EUR
2015-12-20,2015-12-20 16:00:00,1.6894332881807423,USD,EUR
2015-12-21,2015-12-21 16:00:00,1.6892732836807425,USD,EUR
2015-12-22,2015-12-22 16:00:00,1.6857636881807423,USD,EUR
2015-12-23,2015-12-23 16:00:00,1.6825937142807423,USD,EUR
2015-12-24,2015-12-24 16:00:00,1.6859874993807424,USD,EUR
2015-12-25,2015-12-25 16:00:00,1.6810970201807423,USD,EUR
2015-12-26,2015-12-26 16:00:00,1.6803330316807423,USD,EUR
2015-12-27,2015-12-27 16:00:00,1.6803332881807425,USD,EUR
2015-12-28,2015-12-28 16:00:00,1.6812647170807424,USD,EUR
2015-12-29,2015-12-29 16:00:00,1.6804431151807422,USD,EUR
2015-12-30,2015-12-30 16:00:00,1.6845531207807425,USD,EUR
2015-12-31,2015-12-31 16:00:00,1.6838494843807423,USD,EUR
2016-01-01,2016-01-01 16:00:00,1.6901855179807423,USD,EUR
2016-01-02,2016-01-02 16:00:00,1.6900551911807424,USD,EUR
2016-01-03,2016-01-03 16:00:00,1.6898032908807423,USD,EUR
2016-01-04,2016-01-04 16:00:00,1.6907347775807424,USD,EUR
2016-01-05,2016-01-05 16:00:00,1.6931209140807424,USD,EUR
2016-01-06,2016-01-06 16:00:00,1.6994892030807423,USD,EUR
2016-01-07,2016-01-07 16:00:00,1.6972375648807425,USD,EUR
2016-01-08,2016-01-08 16:00:00,1.6845338646807424,USD,EUR
2016-01-09,2016-01-09 16:00:00,1.6847845646807422,USD,EUR
2016-01-10,2016-01-10 16:00:00,1.6845432911807423,USD,EUR
2016-01-11,2016-01-11 16:00:00,1.6835780312807422,USD,EUR
2016-01-12,2016-01-12 16:00:00,1.6903721617807423,USD,EUR
2016-01-13,2016-01-13 16:00:00,1.6915260235807423,USD,EUR
2016-01-14,2016-01-14 16:00:00,1.6879264356807422,USD,EUR
2016-01-15,2016-01-15 16:00:00,1.6903047378807423,USD,EUR
2016-01-16,2016-01-16 16:00:00,1.6854395800807422,USD,EUR
2016-01-17,2016-01-17 16:00:00,1.6854332881807423,USD,EUR
2016-01-18,2016-01-18 16:00:00,1.6851595984807424,USD,EUR
2016-01-19,2016-01-19 16:00:00,1.6872622733807423,USD,EUR
2016-01-20,2016-01-20 16:00:00,1.6857957452807424,USD,EUR
2016-01-21,2016-01-21 16:00:00,1.6888688434807424,USD,EUR
2016-01-22,2016-01-22 16:00:00,1.6901763263807423,USD,EUR
2016-01-23,2016-01-23 16:00:00,1.6952435470807423,USD,EUR
2016-01-24,2016-01-24 16:00:00,1.6953532881807423,USD,EUR
2016-01-25,2016-01-25 16:00:00,1.6953892514807425,USD,EUR
2016-01-26,2016-01-26 16:00:00,1.6907472155807424,USD,EUR
2016-01-27,2016-01-27 16:00:00,1.6899076873807424,USD,EUR
2016-01-28,2016-01-28 16:00:00,1.6862930231807423,USD,EUR
2016-01-29,2016-01-29 16:00:00,1.6836897248807423,USD,EUR
2016-01-30,2016-01-30 16:00:00,1.6925290975807423,USD,EUR
2016-01-31,2016-01-31 16:00:00,1.6925332881807424,USD,EUR
2016-02-01,2016-02-01 16:00:00,1.6930360564807423,USD,EUR
2016-02-02,2016-02-02 16:00:00,1.6869776210807423,USD,EUR
2016-02-03,2016-02-03 16:00:00,1.6850938895807424,USD,EUR
2016-02-04,2016-02-04 16:00:00,1.6707471773807423,USD,EUR
